6/23/2019,9,30.8
6/23/2019,10,32
6/23/2019,11,31.9
6/23/2019,12,
6/23/2019,13,31.1
6/23/2019,14,30.8
6/23/2019,15,30.4
6/23/2019,16,29.1
6/23/2019,17,28.1
6/23/2019,18,
6/23/2019,19,25.8
6/23/2019,20,24.4
6/23/2019,21,25.3
6/23/2019,22,24.6
6/23/2019,23,23.3
6/24/2019,0,
6/24/2019,1,21.8
6/24/2019,2,21
6/24/2019,3,20.9
6/24/2019,4,21.4
6/24/2019,5,23.1
6/24/2019,6,
6/24/2019,7,25.1
6/24/2019,8,27.9
6/24/2019,9,29.5
6/24/2019,10,30.6
6/24/2019,11,29.7
6/24/2019,12,
6/24/2019,13,30.5
6/24/2019,14,30.5
6/24/2019,15,30.2
6/24/2019,16,28.9
6/24/2019,17,28
6/24/2019,18,
6/24/2019,19,23.7
6/24/2019,20,23.4
6/24/2019,21,22.8
6/24/2019,22,21.9
6/24/2019,23,20.9
6/25/2019,0,
6/25/2019,1,19.4
6/25/2019,2,19
6/25/2019,3,19.2
6/25/2019,4,21.3
6/25/2019,5,23.2
6/25/2019,6,
6/25/2019,7,28
6/25/2019,8,29.4
6/25/2019,9,31.3
6/25/2019,10,32.3
6/25/2019,11,33.1
6/25/2019,12,
6/25/2019,13,32.9
6/25/2019,14,33.6
6/25/2019,15,33
6/25/2019,16,32
6/25/2019,17,30
6/25/2019,18,
6/25/2019,19,27.3
6/25/2019,20,26.3
6/25/2019,21,26.4
6/25/2019,22,25.4
6/25/2019,23,24.5
6/26/2019,0,
6/26/2019,1,23
6/26/2019,2,22.3
6/26/2019,3,22.2
6/26/2019,4,23.2
6/26/2019,5,25.3
6/26/2019,6,
6/26/2019,7,29.1
6/26/2019,8,31.2
6/26/2019,9,32.9
6/26/2019,10,32.9
6/26/2019,11,34.7
6/26/2019,12,
6/26/2019,13,34.5
6/26/2019,14,34.3
6/26/2019,15,33.6
6/26/2019,16,33.3
6/26/2019,17,32.4
6/26/2019,18,
6/26/2019,19,29.5
6/26/2019,20,27.8
6/26/2019,21,27
6/26/2019,22,26.1
6/26/2019,23,25
6/27/2019,0,
6/27/2019,1,23.7
6/27/2019,2,23.6
6/27/2019,3,24.2
6/27/2019,4,25.7
6/27/2019,5,27.7
6/27/2019,6,
6/27/2019,7,31.6
6/27/2019,8,32.5
6/27/2019,9,33.2
6/27/2019,10,35.4
6/27/2019,11,37.3
6/27/2019,12,
6/27/2019,13,37.7
6/27/2019,14,37.8
6/27/2019,15,36.8
6/27/2019,16,34.9
6/27/2019,17,32.9
6/27/2019,18,
6/27/2019,19,29.7
6/27/2019,20,28.6
6/27/2019,21,27.3
6/27/2019,22,26.9
6/27/2019,23,25.3
6/28/2019,0,
6/28/2019,1,24.6
6/28/2019,2,24
6/28/2019,3,24.1
6/28/2019,4,25.3
6/28/2019,5,27.6
6/28/2019,6,
6/28/2019,7,32.6
6/28/2019,8,34.8
6/28/2019,9,36.5
6/28/2019,10,38.8
6/28/2019,11,40
6/28/2019,12,
6/28/2019,13,39.6
6/28/2019,14,38.8
6/28/2019,15,37.7
6/28/2019,16,36.6
6/28/2019,17,35.2
6/28/2019,18,
6/28/2019,19,32.3
6/28/2019,20,29.2
6/28/2019,21,28.7
6/28/2019,22,27.3
6/28/2019,23,27.7
6/29/2019,0,
6/29/2019,1,25.9
6/29/2019,2,25
6/29/2019,3,24.4
6/29/2019,4,25.9
6/29/2019,5,28.2
6/29/2019,6,
6/29/2019,7,32.4
6/29/2019,8,35.2
6/29/2019,9,36.7
6/29/2019,10,37.7
6/29/2019,11,39.3
6/29/2019,12,
6/29/2019,13,39.2
6/29/2019,14,38.2
6/29/2019,15,37.9
6/29/2019,16,35.9
6/29/2019,17,33.2
6/29/2019,18,
6/29/2019,19,32.1
6/29/2019,20,31.7
6/29/2019,21,30.7
6/29/2019,22,28.4
6/29/2019,23,28.7
6/30/2019,0,
6/30/2019,1,27.1
6/30/2019,2,26.1
6/30/2019,3,25.5
6/30/2019,4,26.3
6/30/2019,5,27.7
6/30/2019,6,
6/30/2019,7,30
